Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price XOF,Variant Price XAF,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,anastrozole-1mg-comprime,ANASTROZOLE 1 mg comprimé,,Inhibiteur de l'aromatase indiqué dans le traitement du cancer du sein chez la femme ménopausée.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-ANA-001,,,,TRUE,FALSE,,,,,,,,,4500,4500,FALSE,FALSE,,
,ranitidine-150mg-comprime,RANITIDINE 150 mg comprimé,,Antagoniste des récepteurs H2 indiqué pour le traitement des ulcères gastriques et du reflux gastro-œsophagien.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-RAN-002,,,,TRUE,FALSE,,,,,,,,,2500,2500,FALSE,FALSE,,
,actaea-racemosa-granules,ACTAEA RACEMOSA granules,,Médicament homéopathique traditionnellement utilisé en gynécologie et pour les douleurs musculaires.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-ACT-003,,,,TRUE,FALSE,,,,,,,,,1800,1800,FALSE,FALSE,,
,curcuma-xanthorrhiza-sol-buv,CURCUMA XANTHORRHIZA solution buvable,,Préparation à base de plantes traditionnellement utilisée pour stimuler les fonctions biliaires et digestives.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-CUR-004,,,,FALSE,FALSE,,,,,,,,,2200,2200,FALSE,FALSE,,
,beclometasone-800mcg-suspension,BECLOMETASONE DIPROPIONATE 800 mcg suspension,,Corticoïde local indiqué dans le traitement de fond de l'asthme persistant.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-BEC-005,,,,FALSE,FALSE,,,,,,,,,6500,6500,FALSE,FALSE,,
,fenofibrate-100mg-gelule,FENOFIBRATE 100 mg gélule,,Hypolipidémiant indiqué en complément d'un régime adapté pour réduire les taux de cholestérol et de triglycérides.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-FEN-006,,,,FALSE,FALSE,,,,,,,,,3200,3200,FALSE,FALSE,,
,tramadol-200mg-comprime,TRAMADOL 200 mg comprimé,,Antalgique central de palier 2 indiqué pour le traitement des douleurs modérées à sévères.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-TRA-007,,,,FALSE,FALSE,,,,,,,,,5000,5000,FALSE,FALSE,,
,cabazitaxel-60mg-perfusion,CABAZITAXEL 60 mg solution pour perfusion,,Agent antinéoplasique (taxane) indiqué dans le traitement du cancer du prostate métastatique.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-CAB-008,,,,FALSE,FALSE,,,,,,,,,85000,85000,FALSE,FALSE,,
,famotidine-20mg-comprime,FAMOTIDINE 20 mg comprimé,,"Anti-acide, antagoniste des récepteurs H2 indiqué en cas d'ulcère duodénal ou d'hyperacidité gastrique.",published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-FAM-009,,,,FALSE,FALSE,,,,,,,,,1900,1900,FALSE,FALSE,,
,rhododendron-granules,RHODODENDRON granules,,Souche homéopathique traditionnellement utilisée pour les douleurs articulaires aggravées par le changement de temps.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-RHO-010,,,,TRUE,FALSE,,,,,,,,,1800,1800,FALSE,FALSE,,
